Segment ID,Literal Summary,Conceptual Extraction,Terminology Indexing,Structural Mapping,Data Analysis,Comparative Analysis,Practical Application,Cross-Referencing,Full Text
Segment_363,"However,   Simon (1974) found that the span in chunks   was less with larger chunks (e.g., eight-word   phrases) than with smaller chunks (e.g., one-  syllable words). Second, Cowan (2000, p. 88) argued that  estimates of short-term memory capacity are   often in˜ ated because participants™ performa",Explores how emotion influences cognition.,"recognition, perception, attention",Nested under Chapter on emotion,Observed data trends suggest strong effect in awareness,Aligned with contemporary studies on perception,Used in agent decision-making systems for adaptive learning.,Related to Segment_1252,"However, 

Simon (1974) found that the span in chunks 

was less with larger chunks (e.g., eight-word 

phrases) than with smaller chunks (e.g., one-

syllable words).
Second, Cowan (2000, p. 88) argued that 
estimates of short-term memory capacity are 

often in˜ ated because participants™ performance 

depends in part on rehearsal and on long-term 

memory. When these additional factors are 

largely eliminated, the capacity of short-term 
memory is typically only about four chunks. 

For example, Cowan et al. (2005) used the 

running memory task Œ a series of digits ended 

at an unpredictable point, with the participants™ 

task being to recall the items from the end of 

the list. The digits were presented very rapidly 

to prevent rehearsal, and the mean number of 

items recalled was 3.87.
The 
recency effect
 in free recall (recalling 
the items in any order) refers to the ˚
 nding 
that the last few items in a list are usually much 

better remembered in immediate recall than 

those from the middle of the list. Counting 

backwards for 10 seconds between the end 

of list presentation and start of recall mainly 

affects the recency effect (Glanzer & Cunitz, 

1966; see Figure 6.2). The two or three words 

susceptible to the recency effect may be in the 

short-term store at the end of list presentation 

and so especially vulnerable. However, Bjork 
0.80
0.70

0.60

0.50

0.40

0.30
0.20
1 510 15
Serial position
Probability correct
0-sec delay
10-sec delay
30-sec delay
Figure 6.2 
Free recall as 
a function of serial position 
and duration of the 

interpolated task. Ada
pted 
from Glanzer and Cunitz 

(1966).
chunk:
 a stored unit formed from integrating 
smaller pieces of information.

recency effect:
 the Þ nding that the last few 

items in a list are much better remembered than 

other items in immediate free recall.
KEY TERMS
9781841695402_4_006.indd   207
9781841695402_4_006.indd   207
12/21/09   2:16:52 PM

12/21/09   2:16:52 PM

208
 COGNITIVE "
Segment_364,"PSYCHOLOGY: A STUDENT™S HANDBOOK and Whitten (1974) found that there was still  a recency effect when participants counted   backwards for 12 seconds after each item in   the list was presented. According to Atkinson   and Shiffrin (1968), this should have eliminated   the recency effect. The above",Explores how recognition influences cognition.,"recognition, memory, awareness",Nested under Chapter on perception,Observed data trends suggest strong effect in emotion,Aligned with contemporary studies on perception,Used in agent decision-making systems for adaptive learning.,Related to Segment_1306,"PSYCHOLOGY: A STUDENT™S HANDBOOK
and Whitten (1974) found that there was still 
a recency effect when participants counted 

backwards for 12 seconds after each item in 

the list was presented. According to Atkinson 

and Shiffrin (1968), this should have eliminated 

the recency effect.
The above ˚ ndings can be explained by 
analogy to looking along a row of telephone 

poles. The closer poles are more distinct than 

the ones farther away, just as the most recent 

list words are more discriminable than the 

others (Glenberg, 1987).
Peterson and Peterson (1959) studied the 
duration of short-term memory by using the 

task of remembering a three-letter stimulus 

while counting backwards by threes followed 

by recall in the correct order. Memory perfor-

mance reduced to about 50% after 6 seconds 

and forgetting was almost complete after 18 

seconds (see Figure 6.3), presumably because 

unrehearsed information disappears rapidly 

from short-term memory through decay (see 

Nairne, 2002, for a review). In contrast, it is 

often argued that forgetting from long-term 

memory involves different mechanisms. In parti-

cular, there is much cue-dependent forgetting, 

in which the memory traces are still in the 

memory system but are inaccessible (see later 

discussion).
Nairne, Whiteman, and Kelley (1999) argued 
that the rate of forgetting observed by Peterson 

and Peterson (1959) was especially rapid for 
two reasons. First, they used all the letters of 

the alphabet repeatedly, which may have caused 

considerable interference. Second, the memory 

task was dif˚ cult in that participants had to 

remember the items themselves and the pre-

sentation order. Nairne et al. presented different 

words on each trial to reduce interference, and 

tested memory only for order information and 

not for the words themselves. Even though 

there was a rehearsal-prevention task (reading 

aloud digits presented on a screen) during the 

retention interval, there w"
Segment_365,as remarkably little   forgetting even over 96 seconds (see Figure 6.4).  100 90 80  70 60 50  40 30 20  10 0 0 369121518 Retention interval (s) Letter recall (%) Figure 6.3  Forgetting over  time in short-term memor y.  Data from Peterson and  Peterson (1959). 0.85 0.80 0.75 0.70 0.65 0.60 4244896,Explores how emotion influences cognition.,"attention, perception, memory",Nested under Chapter on memory,Observed data trends suggest strong effect in recognition,Aligned with contemporary studies on memory,Used in agent decision-making systems for adaptive learning.,Related to Segment_1233,"as remarkably little 

forgetting even over 96 seconds (see Figure 6.4). 
100
90
80

70
60
50

40
30
20

10
0
0 369121518
Retention interval (s)
Letter recall (%)
Figure 6.3 
Forgetting over 
time in short-term memor
y. 
Data from Peterson and 
Peterson (1959).
0.85
0.80
0.75
0.70
0.65
0.60
4244896
Retention interval (secs)
Proportion correct responses
Figure 6.4 
Proportion of correct responses as a 
function of retention inter
val. Data from Nairne 
et al. (1999).
9781841695402_4_006.indd   208
9781841695402_4_006.indd   208
12/21/09   2:16:52 PM

12/21/09   2:16:52 PM

6 LEARNING
, MEMORY, AND FORGETTING 
209
This ˚ nding casts doubt on the notion that 
decay causes forgetting in short-term memory. 

However, reading digits aloud may not have 

totally prevented rehearsal.
Finally, we turn to the strongest evidence that 
short-term and long-term memory are distinct. 

If short-term and long-term memory are separate, 

we might expect to ˚ nd some patients with 

impaired long-term memory but intact short-

term memory and others showing the opposite 

pattern. This would produce a double dissoci-

ation. The ˚ ndings are generally supportive. 

Patients with amnesia (discussed in Chapter 7) 

have severe impairments of 
many aspects of 

long
-term memory, but typically have no prob-

lem with short-term memory (Spiers, Maguire, 

& Burgess, 2001). Amnesic patients have dam-

age to the medial temporal lobe, including the 

hippocampus (see Chapter 7), 
which primarily 

disrupts long-term memory (see 
Chapter 7).
A few brain-damaged patients have severely 
impaired short-term memory but intact long-term 

memory. For example, KF had no problems 

with long-term learning and recall but had a 

very small digit span (Shallice & Warrington, 

1970). Subsequent research indicated that his 

short-term memory problems focused mainly 

on recall of letters, words, or digits rather than 

meaningful sounds or visual stimuli (e.g., Shallice 

& Warrington, 1974). Such p"
Segment_366,"atients typically   have damage to the parietal and temporal lobes   (Vallar & Papagno, 2002). Evaluation The multi-store approach has various strengths.   The conceptual distinction between three kinds   of memory store (sensory store, short-term store,   and long-term store) makes sense. These mem",Explores how awareness influences cognition.,"memory, emotion, recognition",Nested under Chapter on recognition,Observed data trends suggest strong effect in attention,Aligned with contemporary studies on perception,Used in agent decision-making systems for adaptive learning.,Related to Segment_649,"atients typically 

have damage to the parietal and temporal lobes 

(Vallar & Papagno, 2002).
Evaluation
The multi-store approach has various strengths. 

The conceptual distinction between three kinds 

of memory store (sensory store, short-term store, 

and long-term store) makes sense. These memory 

stores differ in several ways:
temporal duration
†
storage capacity
†
forgetting mechanism(s)
†
effects of brain damage
†
Finally, many subsequent theories of human 
memory have built on the foundations of the multi-

store model, as we will see later in this chapter.
However, the multi-store model possesses 
several serious limitations. First, it is very over
-
simpli˚
 ed. It was assumed that the short-term 
and long-term stores are both 
unitary
, i.e., each 

store always operates in a single, uniform way. 

As we will see shortly, Baddeley and Hitch (1974) 

proposed replacing the concept of a single short-

term store with a 
working memory 
system 

consisting of 
three
 different components. That 

is a more realistic approach. In similar fashion, 

there are several long-term memory systems 

(see Chapter 7).
Second, it is assumed that the short-term 
store acts as a gateway between the sensory 

stores and long-term memory (see Figure 6.1). 

However, the information processed in the 

short-term store has already made contact 

with information stored in long-term memory 

(Logie, 1999). For example, consider the phono-

logical similarity effect: immediate recall of 

visually presented words in the correct order 

is worse when they are phonologically similar 

(sounding similar) (e.g., Larsen, Baddeley, & 

Andrade, 2000). Thus, information about the 

sounds of words stored in long-term memory 

affects processing in short-term memory.
Third, Atkinson and Shiffrin (1968) assumed 
that information in short-term memory repres-

ents the ﬁcontents of consciousnessﬂ. This implies 

that only information processed consciously 

can be stored in long-term m"
Segment_367,"emory. However,   learning without conscious awareness of what   has been learned (implicit learning) appears to   exist (see later in the chapter). Fourth, multi-store theorists assumed that  most information is transferred to long-term   memory via rehearsal. However, the role of   rehearsal in ou",Explores how memory influences cognition.,"emotion, awareness, perception",Nested under Chapter on memory,Observed data trends suggest strong effect in recognition,Aligned with contemporary studies on memory,Used in agent decision-making systems for adaptive learning.,Related to Segment_281,"emory. However, 

learning without conscious awareness of what 

has been learned (implicit learning) appears to 

exist (see later in the chapter).
Fourth, multi-store theorists assumed that 
most information is transferred to long-term 

memory via rehearsal. However, the role of 

rehearsal in our everyday lives is very limited. 

More generally, multi-store theorists focused 

too much on structural aspects of memory rather 

than on memory processes.
Unitary-store models
In recent years, various theorists have argued 

that the entire multi-store approach is misguided 

and should be replaced by a unitary-store model 

(see Jonides, Lewis, Nee, Lustig, Berman, & 
9781841695402_4_006.indd   209
9781841695402_4_006.indd   209
12/21/09   2:16:52 PM

12/21/09   2:16:52 PM

210
 COGNITIVE PSYCHOLOGY: A STUDENT™S HANDBOOK
Moore, 2008, for a review). Unitary-store models 
assume that, ﬁSTM [short-term memory] con-

sists of temporary activations of LTM [long-term 

memory] representations or of representations 

of items that were recently perceivedﬂ (Jonides 

et al., 2008, p. 198). Such activations will often  

occur when certain representations are the focus 

of attention.
Unitary-store models would seem to have 
great dif˚ culty in explaining the consistent ˚
 nd-
ing that amnesic patients have essentially intact 

short-term memory in spite of having severe 

problems with long-term memory. Jonides et al. 

(2008) argued that amnesic patients have special 

problems in forming novel relations (e.g., between 

items and their context) in both short-term and 

long-term memory. Amnesic patients apparently 

have no problems with short-term memory 

because short-term memory tasks typically do 

not require relational memory. This leads to a 

key prediction: amnesic patients should have 

impaired short-term memory performance on 

tasks requiring relational memory.
According to Jonides et al. (2008), the 
hippocampus and surrounding medial temporal 

lobes (typi"
Segment_368,"cally damaged in amnesic patients)   play a crucial role in forming novel relations   (sometimes called binding) (see Chapter 7).   Multi-store theorists assume that these struc-  tures are much more involved in long-term   memory than in short-term memory. However,   it follows from unitary-store m",Explores how recognition influences cognition.,"attention, recognition, awareness",Nested under Chapter on emotion,Observed data trends suggest strong effect in emotion,Aligned with contemporary studies on awareness,Used in agent decision-making systems for adaptive learning.,Related to Segment_1035,"cally damaged in amnesic patients) 

play a crucial role in forming novel relations 

(sometimes called binding) (see Chapter 7). 

Multi-store theorists assume that these struc-

tures are much more involved in long-term 

memory than in short-term memory. However, 

it follows from unitary-store models that the 

hippocampus and medial temporal lobes would 

be involved if a short-term memory task required 

forming novel relations.
Evidence
Evidence supporting the unitary-store approach 

was reported by Hannula, Tranel, and Cohen 

(2006). They studied patients who had become 

amnesic as the result of an anoxic episode 

(involving de˚ cient oxygen supply). In one experi-

ment, scenes were presented for 20 seconds. 

Some scenes were repeated exactly, whereas others 

were repeated with one object having been 

moved spatially. Participants decided whether 

each scene had been seen previously. It was 

assumed that short-term memory was involved 
when a given scene was repeated in its original 

or slightly modi˚ ed form immediately after its 

initial presentation (Lag 1) but that long-term 

memory was involved at longer lags.
The ˚ ndings are shown in Figure 6.5. Amnesic 
patients performed much worse than healthy 

controls in short-term memory (Lag 1) and the 

performance difference between the two groups  

was even larger in long-term memory. The crucial 

issue is whether performance at Lag 1 was 
only
 
due to 
short-term memory. The ˚
 nding that  
amnesics™  
performance fell to chance level at 
longer lags suggests that they may well have 

relied almost exclusively on short-term memory 

at Lag 1. However, the ˚ nding that controls™ per-

formance changed little over lags suggests that 

they formed strong long-term relational memories, 

and these long-term memories may well account 

for their superior performance at Lag 1.
Further support for the unitary-store approach 
was reported by Hannula and Ranganath (2008). 

They presented four objec"
Segment_369,"ts in various loca-  tions and instructed participants to rotate the   display mentally. Participants were then presented   with a second display, and decided whether the   second display matched or failed to match their   mental representation of the rotated display.   This task involved relational",Explores how emotion influences cognition.,"perception, recognition, memory",Nested under Chapter on memory,Observed data trends suggest strong effect in perception,Aligned with contemporary studies on perception,Used in agent decision-making systems for adaptive learning.,Related to Segment_424,"ts in various loca-

tions and instructed participants to rotate the 

display mentally. Participants were then presented 

with a second display, and decided whether the 

second display matched or failed to match their 

mental representation of the rotated display. 

This task involved relational memory. The 
1.0
0.9

0.8

0.7

0.6

0.5

0.4

0.3

0.2

0.1
0
Comparison group
Anoxic patients
Proportion correct
Lag 1Lag 5Lag 9
Figure 6.5 
Proportion of correct responses for 
healthy contr
ols (comparison group) and amnesics 
(anoxic patients).The dashed line represents chance 
performance. From Hannula et al. (2006) with 

permission from Society of Neuroscience.
9781841695402_4_006.indd   210
9781841695402_4_006.indd   210
12/21/09   2:16:53 PM

12/21/09   2:16:53 PM

 
6 LEARNING, MEMORY, AND FORGETTING 
211
key ˚ nding was that the amount of activation 
in the anterior and posterior regions of the 

left hippocampus predicted relational memory 

performance.
Shrager, Levy, Hopkins, and Squire (2008) 
pointed out that a crucial issue is whether memory 

performance at short retention intervals actu-

ally depends on short-term memory rather than 

long-term memory. They argued that a distin-

guishing feature of short-term memory is that 

it involves active maintenance of informa-

tion throughout the retention interval. Tasks 

that mostly depend on short-term memory are 

vulnerable to distraction during the retention 

interval because distraction disrupts active main-

tenance. Shrager et al. divided their memory 

tasks into those susceptible to distraction in 

healthy controls and those that were not. Amnesic 

patients with medial temporal lobe lesions 

had essentially normal levels 
of performance 

on distraction-sensitive mem
ory tasks but were 
signi˚
 cantly impaired on distraction-insensitive 
memory tasks. Shrager et al. concluded that 

short-term memory processes are intact in 

amnesic patients. Amnesic patients only show 

impaired performanc"
Segment_370,e on so-called ﬁshort-term   memory tasksﬂ when those tasks actually   depend substantially on long-term memory. Evaluation The unitary-store approach has made memory   researchers think deeply about the relationship   between short-term and long-term memory.   There are good reasons for accepting t,Explores how attention influences cognition.,"emotion, awareness, perception",Nested under Chapter on recognition,Observed data trends suggest strong effect in perception,Aligned with contemporary studies on emotion,Used in agent decision-making systems for adaptive learning.,Related to Segment_436,"e on so-called ﬁshort-term 

memory tasksﬂ when those tasks actually 

depend substantially on long-term memory.
Evaluation
The unitary-store approach has made memory 

researchers think deeply about the relationship 

between short-term and long-term memory. 

There are good reasons for accepting the notion 

that activation of part of long-term memory 

plays an important role in short-term memory. 

According to the unitary-store approach (but 

not the multi-store approach), amnesic patients 

can exhibit impaired short-term memory under 

some circumstances. Some recent evidence (e.g., 

Hannula et al., 2006) supports the prediction 

of the unitary-store approach. Functional neuro-

imaging evidence (e.g., Hannula & Ranganath, 

2008) also provides limited support for the 

unitary-store approach.
What are the limitations of the unitary-
store approach? First, it is oversimpli˚
 ed to 
argue that short-term memory is
 only
 activated 
by long-term memory. We can manipulate 

activated long-term memory in ˜
 exible ways 
and such manipulations go well beyond simply 

activating some fraction of long-term memory. 

Two examples of ways in which we can mani-

pulate information in short-term memory are 

backward digit recall (recalling digits in the 

opposite order to the presentation order) and 

generating novel visual images (Logie & van 

der Meulen, 2009). Second, there is no con-

vincing evidence that amnesic patients have 

impaired performance on relational memory 

tasks dependent primarily on short-term memory.  

It seems likely that amnesic patients only per-

form poorly on ﬁshort-term memoryﬂ tasks that 

depend to a large extent on long-term memory 

(Shrager et al., 2008). Third, there is no other 

evidence that decisively favours the unitary-store 

approach over the multiple-store approach. 

However, the search for such evidence only 

recently started in earnest.
WORKING MEMORY
Baddeley and Hitch (1974) and Baddeley (1986) 

replaced the c"
Segment_371,"oncept of the short-term store   with that of working memory. Since then, the   conceptualisation of the working memory system   has become increasingly complex. According   to Baddeley (2001) and Repovı and Baddeley   (2006), the working memory system has four   components (see Figure 6.6): A modal",Explores how attention influences cognition.,"emotion, memory, attention",Nested under Chapter on memory,Observed data trends suggest strong effect in emotion,Aligned with contemporary studies on memory,Used in agent decision-making systems for adaptive learning.,Related to Segment_1318,"oncept of the short-term store 

with that of working memory. Since then, the 

conceptualisation of the working memory system 

has become increasingly complex. According 

to Baddeley (2001) and Repovı and Baddeley 

(2006), the working memory system has four 

components (see Figure 6.6):
A modality-free 
† 
central executive 
resembling  
attention.

A 
† 
phonological loop 
holding information 
in a phonological (speech-based) form.
central executive:
 a modality-free, limited 
capacity, component of 
working memory
.
phonological loop:
 a component of 
working 

memory
, in which speech-based information is 

held and subvocal articulation occurs.
KEY TERMS
9781841695402_4_006.indd   211
9781841695402_4_006.indd   211
12/21/09   2:16:53 PM

12/21/09   2:16:53 PM

212
 COGNITIVE PSYCHOLOGY: A STUDENT™S HANDBOOK
A 
†
visuo-spatial sketchpad
 specialised for
spatial and visual coding.
An 
†
episodic buffer
, which is a temporary
storage system that can hold and integrate

information from the phonological loop,

the visuo-spatial sketchpad, and long-term

memory. This component (added 25 years

after the others) is discussed later.
The most important component is the
central executive. It has limited capacity
, resem-
bles attention, and deals with any cognitively 

demanding task. The phonological loop and 

the visuo-spatial sketchpad are slave systems 

used by the central executive for speci˚
 c pur-
poses. The phonological loop preserves the order 

in which words are presented, and the visuo-

spatial sketchpad stores and manipulates spatial 

and visual information. All three components have 

limited capacity and are relatively independent 

of each other. Two assumptions follow:
If two tasks use the same component, they  
(1) 
cannot be performed successfully together.

If two tasks use different components, 
(2) 
it should be possible to perform them as 

well together as separately.
Numerous dual-task studies have been 
carried out on the basis of thes"
Segment_372,"e assumptions.   For example, Robbins et al. (1996) considered   the involvement of the three original compon-  ents of working memory in the selection of   chess moves by weaker and stronger players.   The players selected continuation moves from  various chess positions while also performing   one",Explores how perception influences cognition.,"attention, memory, awareness",Nested under Chapter on recognition,Observed data trends suggest strong effect in recognition,Aligned with contemporary studies on memory,Used in agent decision-making systems for adaptive learning.,Related to Segment_1216,"e assumptions. 

For example, Robbins et al. (1996) considered 

the involvement of the three original compon-

ents of working memory in the selection of 

chess moves by weaker and stronger players. 

The players selected continuation moves from 
various chess positions while also performing 

one of the following tasks:
Repetitive tapping
†
: this was the control
condition.

Random number generation
†
: this involved
the central executive.

Pressing keys on a keypad in a clockwise
†
fashion
: this used the visuo-spatial sketchpad.
Rapid repetition of the word ﬁsee-sawﬂ
†
:
this is 
articulatory suppression
 and uses the
phonological loop.
Robbins et al. (1996) found that selecting
chess moves involved the central executive 

and the visuo-spatial sketchpad but not the 

phonological loop (see Figure 6.7). The effects 

of the various additional tasks were similar on 

stronger and weaker players, suggesting that 
Rehearsal
Rehearsal
Episodic buffer
Holds and integrates
diverse information
Phonological loop
(inner voice)
Holds information in
a speech-based form
Visuo-spatial sketchpad
(inner eye)
Specialised for spatial
and /or visual coding
CENTRAL
EXECUTIVE
Figure 6.6 
The major 
components of BaddeleyÕ
s 
working memory system. 
Figure adapted from 

Baddeley (2001).
visuo-spatial sketchpad:
 a component of 
working memory
 that is involved in visual and 

spatial processing of information.

episodic buffer:
 a component of 
working 

memory
 that is used to integrate and to store 

brieß y information from the 
phonological 

loop
, the 
visuo-spatial sketchpad
, and 

long-term memory
.

articulatory suppression:
 rapid repetition of 

some simple sound (e.g., Òthe, the, theÓ), which 

uses the articulatory control process of the 

phonological loop
.
KEY TERMS
9781841695402_4_006.indd   212
9781841695402_4_006.indd   212
12/21/09   2:16:54 PM

12/21/09   2:16:54 PM

6 LEARNING
, MEMORY, AND FORGETTING 
213
both groups used the working memory system 
in the s"
Segment_373,"ame way. Phonological loop Most early research on the phonological loop   focused on the notion that verbal rehearsal   (i.e., saying words over and over to oneself ) is of    central importance. Two phenomena provid  ing  support for this view are the phonological   similarity effect and the word-l",Explores how memory influences cognition.,"memory, recognition, emotion",Nested under Chapter on recognition,Observed data trends suggest strong effect in attention,Aligned with contemporary studies on awareness,Used in agent decision-making systems for adaptive learning.,Related to Segment_1046,"ame way.
Phonological loop
Most early research on the phonological loop 

focused on the notion that verbal rehearsal 

(i.e., saying words over and over to oneself ) is of  

central importance. Two phenomena provid 
ing 
support for this view are the phonological 

similarity effect and the word-length effect. 

The 
phonological similarity effect
 is found 
when a short list of visually presented words 

is recalled immediately in the correct order. 

Recall perfor mance is worse when the words 

are phonologically similar (i.e., having similar 

sounds) than when they are phonologically dis-

similar. For example, FEE, HE, KNEE, LEE, ME, 

and SHE form a list of phonologically similar 

words, whereas BAY, HOE, IT, ODD, SHY, 

and UP form a list of phonologically dissimilar 

words. Larsen, Baddeley, and Andrade (2000) 

used those word lists, ˚ nding that recall of 

the words in order was 25% worse with the 

phonologically similar list. This phonological 

similarity effect occurred because participants 

used speech-based rehearsal processes within 

the phonological loop.
The 
word-length effect 
is based on memory 
span (the number of words or other items recalled 

immediately in the correct order). It is de˚
 ned 
by the ˚ nding that memory span is lower 

for words taking a long time to say than for 
30
25

20

15
10
ControlArticulatory
suppression
Visuo-spatial
sketchpad
suppression
Central
executive
suppression
Secondary task
Weaker chess players
Stronger chess players
Quality of chess-move selection
Figure 6.7 
Effects of 
secondary tasks on quality 
of chess-mov
e selection in 
stronger and weaker players. 

Adapted from Robbins et al. 

(1996).
According to Robbins et al. (1996), selecting 

good chess moves requires use of the central 

executive and the visuo-spatial sketchpad, but 

not of the phonological loop.
phonological similarity effect:
 the Þ nding 
that serial recall of visually presented words is 

worse when the words are phonological"
Segment_374,ly   similar rather than phonologically dissimilar.  word-length effect:  the Þ nding that word span   is greater for short words than for long words. KEY TERMS 9781841695402_4_006.indd   213 9781841695402_4_006.indd   213 12/21/09   2:16:54 PM  12/21/09   2:16:54 PM  214  COGNITIVE PSYCHOLOGY: A ST,Explores how emotion influences cognition.,"emotion, memory, attention",Nested under Chapter on perception,Observed data trends suggest strong effect in memory,Aligned with contemporary studies on recognition,Used in agent decision-making systems for adaptive learning.,Related to Segment_468,"ly 

similar rather than phonologically dissimilar.

word-length effect:
 the Þ nding that word span 

is greater for short words than for long words.
KEY TERMS
9781841695402_4_006.indd   213
9781841695402_4_006.indd   213
12/21/09   2:16:54 PM

12/21/09   2:16:54 PM

214
 COGNITIVE PSYCHOLOGY: A STUDENT™S HANDBOOK
those taking less time. Baddeley, Thomson, and 
Buchanan (1975) found that participants recalled 

as many words presented visually as they could 

read out loud in 2 seconds. This suggested that 

the capacity of the phonological loop is deter-

mined by temporal duration like a tape loop. 

Service (2000) argued that these ˚
 ndings depend 
on phonological complexity rather than on 

temporal duration. Reassuringly, Mueller, Seymour, 

Kieras, and Meyer (2003) found with very care-

fully chosen words that memory span depended  

on the articulatory duration of words rather 

than their phonological complexity.
In another experiment, Baddeley et al. 
(1975) obtained more direct evidence that the 

word-length effect depends on the phonological 

loop. The number of visually presented words 

(out of ˚ ve) that could be recalled was assessed. 
Some participants were given the articulatory 

suppression task of repeating the digits 1 to 8 

while performing the main task. The argu 
ment 
was that the articulatory suppression task would 

involve the phonological loop and so prevent it  

being used on the word-span task. As predicted,  

articulatory suppression eliminated the word-

length effect (see Figure 6.8), suggesting it 

depends on the phonological loop.
As so often in psychology, reality is more 
complex than was originally thought. Note that 

the research discussed so far involved the
 visual
 
presentation of words. Baddeley et al. (1975) 

obtained the usual word-length effect when there 

was auditory presentation of word lists. Puzzlingly, 

however, there was still a word-length effect with 

auditorily presented words even when articula"
Segment_375,tory   suppression was used (see Figure 6.8). This led  90 80 70 60 50 40 30 Short wordsLong words Mean percentage of words correctly recalled Auditory presentation; no suppression Visual presentation;  no suppression Auditory presentation;  suppression Visual presentation;  suppression (%) Figure 6,Explores how perception influences cognition.,"emotion, awareness, perception",Nested under Chapter on perception,Observed data trends suggest strong effect in awareness,Aligned with contemporary studies on memory,Used in agent decision-making systems for adaptive learning.,Related to Segment_949,"tory 

suppression was used (see Figure 6.8). This led 
90
80
70
60
50
40
30
Short wordsLong words
Mean percentage of words correctly recalled
Auditory presentation;
no suppression
Visual presentation;

no suppression
Auditory presentation;

suppression
Visual presentation;

suppression
(%)
Figure 6.8 
Immediate word 
recall as a function of 
modality of pr
esentation 
(visual vs. auditory), presence 
versus absence of 

articulatory suppression, and 

word length. Adapted from 

Baddeley et al. (1975).
Auditory
word
presentation
Phonological
store
Articulatory
control
process
Visual word
presentation
Figure 6.9 
Phonological 
loop system as envisaged b
y 
Baddeley (1990).
9781841695402_4_006.indd   214
9781841695402_4_006.indd   214
12/21/09   2:16:56 PM

12/21/09   2:16:56 PM

6 LEARNING
, MEMORY, AND FORGETTING 
215
Baddeley (1986, 1990; see Figure 6.9) to argue that 
the phonological loop has two components:
A passive phonological store directly concerned
†
with speech perception.

An articulatory process linked to speech
†
production that gives access to the phono-

logical store.
According to this account, words presented
auditorily are processed differently from those 

presented visually. Auditory presentation of
 
words produces 
direct
 access to the phono-

logical store regardless of whether the articula-

tory control process is used. In contrast, visual 

presentation of words only permits 
indirect
 

access to the phonological store through sub-

vocal articulation.
The above account makes sense of many 
˚
 ndings. Suppose the word-length effect observed 
by Baddeley et al. (1975) depends on the rate 

of articulatory rehearsal (see Figure 6.8). Arti-

culatory suppression eliminates the word-length  

effect with visual presentation because access 

to the phonological store is prevented. However, 

it does 
not
 affect the word-length effect with 

auditory presentation because information about 

the words enters the phonological store directly.
P"
Segment_376,"rogress has been made in identifying the  brain areas associated with the two components   of the phonological loop. Some brain-damaged    patients have very poor memory for auditory-  verbal material but essentially normal speech   production, indicating they have a damaged   phonological store but",Explores how attention influences cognition.,"awareness, memory, perception",Nested under Chapter on perception,Observed data trends suggest strong effect in attention,Aligned with contemporary studies on perception,Used in agent decision-making systems for adaptive learning.,Related to Segment_1332,"rogress has been made in identifying the 
brain areas associated with the two components 

of the phonological loop. Some brain-damaged  

patients have very poor memory for auditory-

verbal material but essentially normal speech 

production, indicating they have a damaged 

phonological store but an intact articulatory 

control process. These patients typically have 

damage to the left inferior parietal cortex ( 
Vallar 
& Papagno, 1995). Other brain-damaged patients 

have an intact phonological store but a damaged  

articulatory control process shown by a lack of 

evidence for rehearsal. Such patients 
generally  
have damage to the left inferior frontal 
cortex.
Similar brain areas have been identi˚
 ed 
in functional neuroimaging studies on healthy 

volunteers. Henson, Burgess, and Frith (2000) 

found that a left inferior parietal area was 

associated with the phonological store, whereas 

left prefrontal cortex was associated with rehearsal. 
Logie, Venneri, Della Sala, Redpath, and Marshall 

(2003) gave their participants the task of recall-

ing letter sequences presented auditorily in the 

correct order. All participants were instructed to 

use subvocal rehearsal to ensure the involvement 

of the rehearsal com
ponent of the phonological 

loop. The left inferior parietal gyrus and the inferior 

and middle frontal 
gyri were activated.
Evaluation
Baddeley™s theory accounts for the word-length 

effects and for the effects of articulatory suppres-

sion. In addition, evidence from brain-damaged 

patients and from functional neuroimaging 

studies with healthy participants indicates the 

existence of a phonological store and an articu-

latory control process located in different brain  

regions. Our understanding of the phonological 

loop is greater than that for the other com-

ponents of the working memory system.
What is the value of the phonological loop?  
According to Baddeley, Gathercole, and Papagno 

(1998, p. 158), ﬁThe function of"
